Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
1,0.018,0.019,0.021,0.015,0.017
2,0.034,0.037,0.049,0.039,0.038
3,0.051,0.066,0.08,0.059,0.068
4,0.095,0.087,0.077,0.095,0.079
5,0.132,0.104,0.116,0.12,0.117
6,0.137,0.141,0.116,0.126,0.117
7,0.15,0.149,0.154,0.161,0.148
8,0.185,0.175,0.161,0.195,0.184
9,0.208,0.219,0.2,0.212,0.207
10,0.208,0.204,0.205,0.228,0.237
11,0.261,0.252,0.242,0.248,0.235
12,0.264,0.271,0.27,0.283,0.261
13,0.274,0.277,0.295,0.264,0.278
14,0.3,0.316,0.314,0.324,0.308
15,0.325,0.33,0.36,0.352,0.302
16,0.364,0.344,0.333,0.368,0.399
17,0.356,0.383,0.385,0.385,0.364
18,0.406,0.398,0.377,0.397,0.395
19,0.443,0.458,0.411,0.412,0.402
20,0.45,0.482,0.45,0.388,0.463
21,0.456,0.478,0.447,0.478,0.475
22,0.476,0.49,0.501,0.488,0.498
23,0.504,0.48,0.527,0.507,0.506
24,0.526,0.539,0.509,0.516,0.551
25,0.555,0.534,0.551,0.57,0.557
26,0.565,0.566,0.589,0.545,0.572
27,0.604,0.609,0.622,0.595,0.562
28,0.621,0.621,0.633,0.648,0.626
29,0.619,0.638,0.656,0.632,0.637
30,0.657,0.657,0.677,0.674,0.695
